ald	Bushu	Bushu	Bushu	4
k0	Kata0	Kata0	Kata0	4
k1	Kata1	Kata1	Kata1	4
k2	Kata2	Kata2	Kata2	4
k3	Kata3	Kata3	Kata3	4
k4	Kata4	Kata4	Kata4	4
k5	Kata5	Kata5	Kata5	4
k6	Kata6	Kata6	Kata6	4
k7	Kata7	Kata7	Kata7	4
k8	Kata8	Kata8	Kata8	4
k9	Kata9	Kata9	Kata9	4
h1	Kata-1	Kata-1	Kata-1	4
h2	Kata-2	Kata-2	Kata-2	4
h3	Kata-3	Kata-3	Kata-3	4
h4	Kata-4	Kata-4	Kata-4	4
h5	Kata-5	Kata-5	Kata-5	4
h6	Kata-6	Kata-6	Kata-6	4
l1	Kata>1	Kata>1	Kata>1	4
l2	Kata>2	Kata>2	Kata>2	4
l3	Kata>3	Kata>3	Kata>3	4
l4	Kata>4	Kata>4	Kata>4	4
l5	Kata>5	Kata>5	Kata>5	4
l6	Kata>6	Kata>6	Kata>6	4
alj	maze	maze	maze	4
m1	Maze1	Maze1	Maze1	4
m2	Maze2	Maze2	Maze2	4
m3	Maze3	Maze3	Maze3	4
m4	Maze4	Maze4	Maze4	4
m5	Maze5	Maze5	Maze5	4
m6	Maze6	Maze6	Maze6	4
m7	Maze7	Maze7	Maze7	4
m8	Maze8	Maze8	Maze8	4
m9	Maze9	Maze9	Maze9	4
dgg	拉	拉	拉	0
phh	踪	踪	踪	0
qtt	刹	刹	刹	0
jnn	彙	彙	彙	0
khh	顎	顎	顎	0
fgg	嘲	嘲	嘲	0
qgg	蔽	蔽	蔽	0
.hh	遜	遜	遜	0
evv	沃	沃	沃	0
egg	鬱	鬱	鬱	0
jhh	爽	爽	爽	0
cgg	慄	慄	慄	0
imm	憬	憬	憬	0
ihh	捉	捉	捉	0
,hh	傲	傲	傲	0
sbb	賂	賂	賂	0
abb	捗	捗	捗	0
lhh	妬	妬	妬	0
;hh	挫	挫	挫	0
ftt	捻	捻	捻	0
,yy	箋	箋	箋	0
/yy	氾	氾	氾	0
;nn	訃	訃	訃	0
sgg	昧	昧	昧	0
lyy	丼	丼	丼	0
jyy	喩	喩	喩	0
/hh	籠	籠	籠	0
onn	填	填	填	0
dtt	嫉	嫉	嫉	0
stt	侶	侶	侶	0
att	冶	冶	冶	0
zgg	緻	緻	緻	0
ebb	諧	諧	諧	0
wbb	楷	楷	楷	0
kyy	嗅	嗅	嗅	0
rgg	瘍	瘍	瘍	0
;yy	羞	羞	羞	0
.yy	辣	辣	辣	0
inn	媛	媛	媛	0
fvv	錮	錮	錮	0
ett	罵	罵	罵	0
uhh	梗	梗	梗	0
xtt	摯	摯	摯	0
lmm	痩	痩	痩	0
iyy	璧	璧	璧	0
oyy	酎	酎	酎	0
uyy	惧	惧	惧	0
svv	哺	哺	哺	0
ohh	曖	曖	曖	0
pyy	貪	貪	貪	0
knn	毀	毀	毀	0
fbb	恣	恣	恣	0
lnn	哨	哨	哨	0
dvv	疹	疹	疹	0
dbb	胚	胚	胚	0
rtt	炒	炒	炒	0
agg	捧	捧	捧	0
wgg	鵜	鵜	鵜	0
ztt	肛	肛	肛	0
ctt	挽	挽	挽	0
wtt	絆	絆	絆	0
kmm	扮	扮	扮	0
xgg	杭	杭	杭	0
rk	あ	ア	ア	0
ri	い	イ	イ	0
ru	う	ウ	ウ	0
rh	え	エ	エ	0
rj	お	オ	オ	0
ek	か	カ	カ	0
ei	き	キ	キ	0
eu	く	ク	ク	0
eh	け	ケ	ケ	0
ej	こ	コ	コ	0
sk	さ	サ	サ	0
si	し	シ	シ	0
su	す	ス	ス	0
sh	せ	セ	セ	0
sj	そ	ソ	ソ	0
dk	た	タ	タ	0
di	ち	チ	チ	0
du	つ	ツ	ツ	0
dh	て	テ	テ	0
dj	と	ト	ト	0
fk	な	ナ	ナ	0
fi	に	ニ	ニ	0
fu	ぬ	ヌ	ヌ	0
fh	ね	ネ	ネ	0
fj	の	ノ	ノ	0
tk	は	ハ	ハ	0
ti	ひ	ヒ	ヒ	0
tu	ふ	フ	フ	0
th	へ	ヘ	ヘ	0
tj	ほ	ホ	ホ	0
wk	ま	マ	マ	0
wi	み	ミ	ミ	0
wu	む	ム	ム	0
wh	め	メ	メ	0
wj	も	モ	モ	0
qk	や	ヤ	ヤ	0
qu	ゆ	ユ	ユ	0
qj	よ	ヨ	ヨ	0
gk	ら	ラ	ラ	0
gi	り	リ	リ	0
gu	る	ル	ル	0
gh	れ	レ	レ	0
gj	ろ	ロ	ロ	0
ak	わ	ワ	ワ	0
ai	ゐ	ヰ	ヰ	0
ah	ゑ	ヱ	ヱ	0
aj	を	ヲ	ヲ	0
rlk	ぁ	ァ	ァ	0
rli	ぃ	ィ	ィ	0
rlu	ぅ	ゥ	ゥ	0
rlru	ヴ	ヴ	ヴ	0
rlh	ぇ	ェ	ェ	0
rlj	ぉ	ォ	ォ	0
elk	が	ガ	ガ	0
elek	ヵ	ヵ	ヵ	0
eli	ぎ	ギ	ギ	0
elu	ぐ	グ	グ	0
elh	げ	ゲ	ゲ	0
eleh	ヶ	ヶ	ヶ	0
